试验序号,波形编号,台站名称,台站长名称,开始时间,发送时间,持续时长(S),结束时间,地震类型,多台震中距分类,实际震源深度,实际震级,实际震中距,实际震源纬度,实际震源经度,实际峰值,P波初至位置,P波初至时间,S波一报位置,S波一报时间,S波一报峰值,S波二报位置,S波二报时间,S波二报峰值,S波三报位置,S波三报时间,S波三报峰值,方位角
8001,80011,3HF,BY3HFQST,	2025-07-02 14:51:20.721	,	2025-07-02 14:51:20.770	,100.0,	2025-07-02 14:53:00.776	,地震波,SE100,90,4.8,38.373,36.103,139.664,10.6833,10940,	2025-07-02 14:52:15.470	,,,,,,,,,,266.4694
8002,80021,3HF,BY3HFQST,	2025-07-02 14:53:20.721	,	2025-07-02 14:53:20.770	,100.0,	2025-07-02 14:55:00.776	,地震波,SE100,23,4.5,44.853,35.453,138.997,29.6145,10758,	2025-07-02 14:54:14.560	,,,,,,,,,,119.7838
8003,80031,3HF,BY3HFQST,	2025-07-02 14:55:20.721	,	2025-07-02 14:55:20.770	,100.0,	2025-07-02 14:57:00.776	,地震波,SE100,18,5.4,45.777,35.488,138.977,95.2204,11730,	2025-07-02 14:56:19.420	,12131,	2025-07-02 14:56:21.425	,40,13265,	2025-07-02 14:56:27.095	,80,,,,48.0705
8004,80041,3HF,BY3HFQST,	2025-07-02 14:57:20.721	,	2025-07-02 14:57:20.770	,100.0,	2025-07-02 14:59:00.776	,地震波,SE100,44,5.1,51.397,36.027,139.875,101.7749,11419,	2025-07-02 14:58:17.865	,12937,	2025-07-02 14:58:25.455	,40,13007,	2025-07-02 14:58:25.805	,80,,,,219.4489
8005,80051,3HF,BY3HFQST,	2025-07-02 14:59:20.721	,	2025-07-02 14:59:20.770	,140.0,	2025-07-02 15:01:40.776	,地震波,SE100,8,7.2,48.7,39.025,140.883,92.928,11571,	2025-07-02 15:00:18.625	,12799,	2025-07-02 15:00:24.765	,40,14298,	2025-07-02 15:00:32.260	,80,,,,95.5534
8006,80061,3HF,BY3HFQST,	2025-07-02 15:02:00.721	,	2025-07-02 15:02:00.770	,140.0,	2025-07-02 15:04:20.776	,地震波,SE100,14,6.4,42.442,35.305,138.716,72.4771,11610,	2025-07-02 15:02:58.820	,12997,	2025-07-02 15:03:05.755	,40,,,,,,,182.5972
8007,80071,3HF,BY3HFQST,	2025-07-02 15:04:40.721	,	2025-07-02 15:04:40.770	,100.0,	2025-07-02 15:06:20.776	,地震波,SE100,54,5,54.399,36.207,139.962,57.7708,11811,	2025-07-02 15:05:39.825	,13535,	2025-07-02 15:05:48.445	,40,,,,,,,182.1075
8008,80081,3HF,BY3HFQST,	2025-07-02 15:06:40.721	,	2025-07-02 15:06:40.770	,100.0,	2025-07-02 15:08:20.776	,地震波,SE100,18,5.4,54.897,35.488,138.977,46.5885,12132,	2025-07-02 15:07:41.430	,14143,	2025-07-02 15:07:51.485	,40,,,,,,,290.0748
8009,80091,3HF,BY3HFQST,	2025-07-02 15:08:40.721	,	2025-07-02 15:08:40.770	,100.0,	2025-07-02 15:10:20.776	,地震波,SE100,15,6.4,51.24,37.052,140.643,72.1403,12148,	2025-07-02 15:09:41.510	,13038,	2025-07-02 15:09:45.960	,40,,,,,,,76.0405
8010,80101,3HF,BY3HFQST,	2025-07-02 15:10:40.721	,	2025-07-02 15:10:40.770	,100.0,	2025-07-02 15:12:20.776	,地震波,SE100,8,7.2,44.617,39.025,140.883,252.5518,11910,	2025-07-02 15:11:40.320	,12311,	2025-07-02 15:11:42.325	,40,13100,	2025-07-02 15:11:46.270	,80,13430,	2025-07-02 15:11:47.920	,120,293.9514
8011,80111,3HF,BY3HFQST,	2025-07-02 15:12:40.721	,	2025-07-02 15:12:40.770	,100.0,	2025-07-02 15:14:20.776	,地震波,SE100,8,7.2,44.617,39.025,140.883,252.552,11906,	2025-07-02 15:13:40.300	,12311,	2025-07-02 15:13:42.325	,40,13100,	2025-07-02 15:13:46.270	,80,13430,	2025-07-02 15:13:47.920	,120,293.9514
8012,80121,3HF,BY3HFQST,	2025-07-02 15:14:40.721	,	2025-07-02 15:14:40.770	,100.0,	2025-07-02 15:16:20.776	,地震波,SE100,10,7.1,60.447,36.9,140.7,484.8389,12298,	2025-07-02 15:15:42.260	,13115,	2025-07-02 15:15:46.345	,40,13154,	2025-07-02 15:15:46.540	,80,13959,	2025-07-02 15:15:50.565	,120,6.5237
8013,80131,3HF,BY3HFQST,	2025-07-02 15:16:40.721	,	2025-07-02 15:16:40.770	,100.0,	2025-07-02 15:18:20.776	,地震波,SE100,78,5.1,53.53,36.333,139.718,47.8488,11790,	2025-07-02 15:17:39.720	,13538,	2025-07-02 15:17:48.460	,40,,,,,,,179.74
8014,80141,3HF,BY3HFQST,	2025-07-02 15:18:40.721	,	2025-07-02 15:18:40.770	,100.0,	2025-07-02 15:20:20.776	,地震波,SE100,44,5.1,69.983,36.027,139.875,54.6306,11824,	2025-07-02 15:19:39.890	,13733,	2025-07-02 15:19:49.435	,40,,,,,,,98.0423
8015,80151,3HF,BY3HFQST,	2025-07-02 15:20:40.721	,	2025-07-02 15:20:40.770	,140.0,	2025-07-02 15:23:00.776	,地震波,SE100,8,7.2,69.649,39.025,140.883,190.2514,12317,	2025-07-02 15:21:42.355	,12869,	2025-07-02 15:21:45.115	,40,13930,	2025-07-02 15:21:50.420	,80,14993,	2025-07-02 15:21:55.735	,120,324.876
8016,80161,3HF,BY3HFQST,	2025-07-02 15:23:20.721	,	2025-07-02 15:23:20.770	,140.0,	2025-07-02 15:25:40.776	,地震波,SE100,14,6.4,77.822,35.305,138.716,65.4598,12707,	2025-07-02 15:24:24.305	,14998,	2025-07-02 15:24:35.760	,40,,,,,,,210.6455
8017,80171,3HF,BY3HFQST,	2025-07-02 15:26:00.721	,	2025-07-02 15:26:00.770	,100.0,	2025-07-02 15:27:40.776	,地震波,SE100,11,5.9,83.314,36.965,140.633,49.9593,11974,	2025-07-02 15:27:00.640	,14023,	2025-07-02 15:27:10.885	,40,,,,,,,78.1791
8018,80181,3HF,BY3HFQST,	2025-07-02 15:28:00.721	,	2025-07-02 15:28:00.770	,100.0,	2025-07-02 15:29:40.776	,地震波,SE100,11,5.9,83.314,36.965,140.633,49.9583,13162,	2025-07-02 15:29:06.580	,14023,	2025-07-02 15:29:10.885	,40,,,,,,,78.1791
8019,80191,3HF,BY3HFQST,	2025-07-02 15:30:00.721	,	2025-07-02 15:30:00.770	,100.0,	2025-07-02 15:31:40.776	,地震波,SE100,15,6.4,59.377,37.052,140.643,225.634,12127,	2025-07-02 15:31:01.405	,12313,	2025-07-02 15:31:02.335	,40,13512,	2025-07-02 15:31:08.330	,80,13586,	2025-07-02 15:31:08.700	,120,20.4427
8020,80201,3HF,BY3HFQST,	2025-07-02 15:32:00.721	,	2025-07-02 15:32:00.770	,140.0,	2025-07-02 15:34:20.776	,地震波,SE100,6,7,90.713,36.945,140.672,162.8452,13171,	2025-07-02 15:33:06.625	,15701,	2025-07-02 15:33:19.275	,40,16490,	2025-07-02 15:33:23.220	,80,17099,	2025-07-02 15:33:26.265	,120,22.2532
8021,80211,3HF,BY3HFQST,	2025-07-02 15:34:40.721	,	2025-07-02 15:34:40.770	,140.0,	2025-07-02 15:37:00.776	,地震波,SE100,8,7.2,68.146,39.025,140.883,54.1325,12813,	2025-07-02 15:35:44.835	,15104,	2025-07-02 15:35:56.290	,40,,,,,,,62.8891
8022,80221,3HF,BY3HFQST,	2025-07-02 15:37:20.721	,	2025-07-02 15:37:20.770	,100.0,	2025-07-02 15:39:00.776	,地震波,SE100,23,6.5,88.61,34.785,138.498,49.3587,12690,	2025-07-02 15:38:24.220	,15798,	2025-07-02 15:38:39.760	,40,,,,,,,85.0252
8023,80231,3HF,BY3HFQST,	2025-07-02 15:39:20.721	,	2025-07-02 15:39:20.770	,140.0,	2025-07-02 15:41:40.776	,地震波,B100,8,7.2,118.99,39.025,140.883,189.9788,13913,	2025-07-02 15:40:30.335	,14902,	2025-07-02 15:40:35.280	,40,17230,	2025-07-02 15:40:46.920	,80,17391,	2025-07-02 15:40:47.725	,120,228.466
8024,80241,3HF,BY3HFQST,	2025-07-02 15:42:00.721	,	2025-07-02 15:42:00.770	,100.0,	2025-07-02 15:43:40.776	,地震波,B100,78,6.2,129.057,33.692,131.89,132.1299,12296,	2025-07-02 15:43:02.250	,15215,	2025-07-02 15:43:16.845	,40,15624,	2025-07-02 15:43:18.890	,80,15758,	2025-07-02 15:43:19.560	,120,234.4801
8025,80251,3HF,BY3HFQST,	2025-07-02 15:44:00.721	,	2025-07-02 15:44:00.770	,100.0,	2025-07-02 15:45:40.776	,地震波,B100,78,6.2,129.057,33.692,131.89,132.1321,11799,	2025-07-02 15:44:59.765	,15215,	2025-07-02 15:45:16.845	,40,15624,	2025-07-02 15:45:18.890	,80,15758,	2025-07-02 15:45:19.560	,120,234.4801
8026,80261,3HF,BY3HFQST,	2025-07-02 15:46:00.721	,	2025-07-02 15:46:00.770	,140.0,	2025-07-02 15:48:20.776	,地震波,B100,8,7.2,113.709,39.025,140.883,88.6597,14088,	2025-07-02 15:47:11.210	,17206,	2025-07-02 15:47:26.800	,40,17955,	2025-07-02 15:47:30.545	,80,,,,149.9386
8027,80271,3HF,BY3HFQST,	2025-07-02 15:48:40.721	,	2025-07-02 15:48:40.770	,140.0,	2025-07-02 15:51:00.776	,地震波,B100,8,7.2,149.639,39.028,140.88,49.8139,15391,	2025-07-02 15:49:57.725	,20363,	2025-07-02 15:50:22.585	,40,,,,,,,150.4716
8028,80281,3HF,BY3HFQST,	2025-07-02 15:51:20.721	,	2025-07-02 15:51:20.770	,125.0,	2025-07-02 15:53:25.776	,地震波,SE100,78,5.5,59.158,37.613,141.472,171.3282,11412,	2025-07-02 15:52:17.830	,13409,	2025-07-02 15:52:27.815	,40,13573,	2025-07-02 15:52:28.635	,80,13695,	2025-07-02 15:52:29.245	,120,44.5816
8029,80291,3HF,BY3HFQST,	2025-07-02 15:53:45.721	,	2025-07-02 15:53:45.770	,125.0,	2025-07-02 15:55:50.776	,地震波,SE100,67,5,52.189,39.118,141.752,55.8989,11440,	2025-07-02 15:54:42.970	,13251,	2025-07-02 15:54:52.025	,40,,,,,,,44.9622
8030,80301,3HF,BY3HFQST,	2025-07-02 15:56:10.721	,	2025-07-02 15:56:10.770	,125.0,	2025-07-02 15:58:15.776	,地震波,SE100,8,7.2,65.014,39.025,140.883,120.0109,12163,	2025-07-02 15:57:11.585	,12814,	2025-07-02 15:57:14.840	,40,13244,	2025-07-02 15:57:16.990	,80,,,,311.4258
8031,80311,3HF,BY3HFQST,	2025-07-02 15:58:35.721	,	2025-07-02 15:58:35.770	,125.0,	2025-07-02 16:00:40.776	,地震波,SE100,10,5.9,51.321,36.9,140.6,108.3583,11917,	2025-07-02 15:59:35.355	,13486,	2025-07-02 15:59:43.200	,40,13534,	2025-07-02 15:59:43.440	,80,,,,84.22
8032,80321,3HF,BY3HFQST,	2025-07-02 16:01:00.721	,	2025-07-02 16:01:00.770	,125.0,	2025-07-02 16:03:05.779	,地震波,SE100,10,5.9,53.155,36.9,140.6,126.4785,11750,	2025-07-02 16:01:59.520	,13074,	2025-07-02 16:02:06.140	,40,13186,	2025-07-02 16:02:06.700	,80,13249,	2025-07-02 16:02:07.015	,120,122.4718
